clg_name,fees,avg_pkg,rating
"IIT Goa - Indian Institute of Technology - [IITG], Ponda","₹ 2,15,800","₹ 6,60,000",8.5 / 10
"IIT Dharwad - Indian Institute of Technology - [IITD], Dharwad","₹ 2,41,500","₹ 20,38,000",8.8 / 10
"Sanskriti University - [SU], Mathura","₹ 1,30,000","₹ 3,60,000",7.6 / 10
"Adamas University, Kolkata","₹ 1,90,000","₹ 12,00,000",7.7 / 10
"PDM University, Bahadurgarh, Bahadurgarh","₹ 1,00,200","₹ 15,40,000",6.7 / 10
"CEPT University, Ahmedabad","₹ 3,48,800","₹ 5,00,000",8.3 / 10
"Birla Institute of Technology and Science - [BITS], South Goa","₹ 5,71,575","₹ 31,25,000",8.6 / 10
"Mahatma Gandhi Institute of Technology - [MGIT], Hyderabad","₹ 1,45,976","₹ 55,00,000",7.9 / 10
"Prasad V. Potluri Siddhartha Institute of Technology - [PVPSIT], Vijayawada","₹ 70,000","₹ 85,00,000",8 / 10
"Ganpat University - [GUNI], Mehsana","₹ 1,08,000","₹ 14,20,000",8.7 / 10
"RKDF University, Bhopal","₹ 55,000","₹ 53,87,000",7.6 / 10
"Centurion University of Technology and Management - [CUTM], Bhubaneswar","₹ 1,41,750","₹ 1,00,00,000",7.8 / 10
"SunRise University - [SRU], Alwar","₹ 62,200","₹ 20,00,000",7.6 / 10
"Uttaranchal University, Dehradun","₹ 2,44,000","₹ 43,31,000",7.6 / 10
"OPJS University, Churu","₹ 64,200","₹ 30,00,000",7.6 / 10
"IIT Bhilai - Indian Institute of Technology - [IITB], Bhilai","₹ 2,36,000","₹ 10,15,000",8.2 / 10
"Centurion University of Technology and Management - [CUTM], Vizianagaram","₹ 1,25,000","₹ 19,00,000",8.1 / 10
"Centurion University of Technology and Management - [CUTM], Paralkhemundi","₹ 1,05,000","₹ 36,00,000",8.2 / 10
"RKDF University, Ranchi","₹ 90,000","₹ 28,00,000",8 / 10
"GIET University - [GIET], Gunupur","₹ 90,000","₹ 85,00,000",7.7 / 10
"Banasthali Vidyapith, Jaipur","₹ 1,39,000","₹ 6,09,000",8.5 / 10
"Amity University, Jaipur","₹ 1,52,000","₹ 32,00,000",8.1 / 10
"Shoolini University, Solan","₹ 2,35,000","₹ 8,75,000",8.5 / 10
"Sikkim Manipal University - [SMU], East Sikkim","₹ 3,25,000","₹ 35,00,000",8.1 / 10
"Monad University, Hapur","₹ 1,51,000","₹ 7,82,000",7.8 / 10
"BML Munjal University - [BMU], Gurgaon","₹ 3,00,000","₹ 88,20,000",8.1 / 10
"Acharya Institute of Technology - [AIT], Bangalore","₹ 91,296","₹ 4,70,000",8.1 / 10
"Bangalore Institute of Technology - [BIT], Bangalore","₹ 2,35,000","₹ 15,00,000",7.6 / 10
"International Institute of Information Technology - [IIIT], Bhubaneswar","₹ 2,11,200","₹ 6,80,000",7.7 / 10
"Poornima University - [PU], Jaipur","₹ 1,27,500","₹ 21,00,000",8 / 10
"Graphic Era University - [GEU], Dehradun","₹ 3,23,400","₹ 7,50,000",8.3 / 10
"Chandigarh Group of Colleges - [CGC] Landran, Mohali","₹ 4,71,000","₹ 40,00,000",8 / 10
"University Institute of Technology, Rajiv Gandhi Proudyogiki Vishwavidyalaya - [UIT- RGPV], Bhopal","₹ 23,920","₹ 1,25,00,000",7 / 10
"Indian Institute of Information Technology - [IIITL], Lucknow","₹ 2,69,700","₹ 7,82,000",8.5 / 10
"Brainware University, Kolkata","₹ 4,64,600","₹ 24,00,000",8.1 / 10
"Institute Technology & Management - [ITM], Gwalior","₹ 77,000","₹ 6,46,000",8.1 / 10
"Indian Institute of Information Technology - [IIIT], Pune","₹ 2,35,700","₹ 43,50,000",8 / 10
"Sandip University, Madhuban","₹ 65,000","₹ 5,50,000",8.4 / 10
"Shobhit University, Meerut","₹ 1,10,000","₹ 27,00,000",8.2 / 10
"Garden City University - [GCU], Bangalore","₹ 3,30,000","₹ 3,31,000",7.9 / 10
"Amity University, Gurgaon","₹ 2,30,000","₹ 13,35,000",7.7 / 10
"Sri Sri University - [SSU], Cuttack","₹ 1,60,000","₹ 75,00,000",7.1 / 10
"SAGE University, Bhopal","₹ 90,000","₹ 20,00,000",8.4 / 10
"YBN University - [YBN], Ranchi","₹ 69,600","₹ 32,00,000",8.1 / 10
"Madras Institute of Technology- [MIT], Chennai","₹ 46,060","₹ 32,51,000",8.2 / 10
"Malla Reddy Engineering College - [MREC], Hyderabad","₹ 1,03,000","₹ 10,05,400",7.4 / 10
"Malla Reddy College of Engineering - [MRCE], Secunderabad","₹ 92,000","₹ 46,00,000",7.6 / 10
"Indus University, Ahmedabad","₹ 1,01,000","₹ 6,50,000",7.9 / 10
"Academy of Maritime Education and Training University - [AMET], Chennai",--,"₹ 38,00,000",7.4 / 10
"IFTM University, Moradabad","₹ 1,07,000","₹ 8,30,000",7.5 / 10
"National Institute of Technology - [NIT], Pondicherry","₹ 1,44,800","₹ 60,10,000",7.3 / 10
"Institute of Engineering and Technology, Devi Ahilya University - [IET -DAVV], Indore","₹ 82,961","₹ 6,75,000",7.7 / 10
"Marwadi University - [MU], Rajkot","₹ 1,15,000","₹ 16,60,000",8.3 / 10
"Glocal University, Saharanpur","₹ 95,000","₹ 46,00,000",7.6 / 10
"Indraprastha Institute of Technology and Management - [IITM], New Delhi","₹ 1,25,000","₹ 6,25,000",8.3 / 10
"RIMT University, Gobindgarh","₹ 1,35,000","₹ 59,00,000",6.7 / 10
"MATS University, Raipur","₹ 72,000","₹ 4,50,000",7.6 / 10
"AMC Engineering College - [AMC], Bangalore","₹ 1,67,000","₹ 25,00,000",7.4 / 10
"Aditya Engineering College - [AEC], East Godavari","₹ 72,000","₹ 13,00,000",8 / 10
"Chennai Institute of Technology - [CIT], Chennai","₹ 55,000","₹ 22,00,000",8.3 / 10
"Indira Gandhi Institute of Technology- [IGIT], Dhenkanal","₹ 64,400","₹ 3,50,000",8 / 10
"Maharaja Agrasen Institute of Technology - [MAIT], New Delhi","₹ 1,43,200","₹ 35,00,000",7.5 / 10
"Maharaja Surajmal Institute of Technology - [MSIT], New Delhi","₹ 1,56,300","₹ 6,30,000",7.4 / 10
"Panimalar Engineering College, Chennai","₹ 60,000","₹ 55,00,000",8.2 / 10
"Suresh Gyan Vihar University - [SGVU], Jaipur","₹ 1,20,000","₹ 13,95,000",7.1 / 10
"Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University], Thanjavur","₹ 51,000","₹ 46,15,000",7.3 / 10
"Invertis University, Bareilly","₹ 1,00,000","₹ 4,50,000",8.3 / 10
"National Institute of Technology - [NIT], South Sikkim","₹ 1,50,930","₹ 12,02,000",7.8 / 10
"Indian Institute of Information Technology - [IIITG], Guwahati","₹ 2,55,000","₹ 5,50,000",7.8 / 10
"Acropolis Institute of Technology & Research - [AITR], Indore","₹ 73,600","₹ 8,00,000",7.8 / 10
"Indian Institute of Information Technology -[IIIT], Bhopal","₹ 2,24,500","₹ 6,50,000",7.3 / 10
"Quantum University, Roorkee","₹ 1,25,000","₹ 44,00,000",7.3 / 10
"SAGE University, Indore","₹ 60,000","₹ 36,00,000",7.9 / 10
"Government Engineering College - [GEC], Gopalganj","₹ 1,00,000","₹ 5,60,000",8.5 / 10
"Model Institute of Engineering and Technology - [MIET], Jammu","₹ 96,500","₹ 54,30,000",7.8 / 10
"RVR and JC College of Engineering, Guntur","₹ 73,400","₹ 7,33,000",8.2 / 10
"Rabindranath Tagore University - [RNTU], Bhopal","₹ 45,000","₹ 44,00,000",7.8 / 10
"Sister Nivedita University - [SNU], Kolkata","₹ 1,49,500","₹ 18,00,000",8.4 / 10
"CMJ University, Ri-Bhoi","₹ 50,000","₹ 53,00,000",8.3 / 10
"Mangalayatan University - [MU], Aligarh","₹ 1,30,000","₹ 17,09,000",7.5 / 10
"Navrachana University - [NUV], Vadodara","₹ 1,14,000","₹ 60,00,000",7.7 / 10
"Amity University, Patna","₹ 1,59,000","₹ 40,00,000",7.8 / 10
"Guru Kashi University, Bathinda","₹ 92,680","₹ 4,80,000",7.7 / 10
"GLS University, Ahmedabad","₹ 1,00,000","₹ 54,00,000",8.1 / 10
"Karnavati University - [KU], Gandhinagar","₹ 1,07,000","₹ 43,00,000",8.4 / 10
"Noida Institute of Engineering and Technology - [NIET], Greater Noida","₹ 1,43,100","₹ 5,00,000",7.8 / 10
"ABES Engineering College, Ghaziabad","₹ 1,36,600","₹ 1,40,00,000",8 / 10
"Asansol Engineering College - [AEC], Asansol","₹ 1,33,794","₹ 4,26,003",7.9 / 10
"Bharati Vidyapeeth's College of Engineering - [BVCOE], New Delhi","₹ 1,30,200","₹ 70,00,000",7.5 / 10
"Bundelkhand Institute of Engineering & Technology - [BIET], Jhansi","₹ 61,800","₹ 3,09,000",7.2 / 10
"Gudlavalleru Engineering College - [GEC], Krishna","₹ 65,000","₹ 12,00,000",8.3 / 10
"Jaypee University of Engineering and Technology - [JUET], Guna","₹ 1,89,450","₹ 3,40,000",7.8 / 10
"MVJ College of Engineering - [MVJCE], Bangalore","₹ 1,03,806","₹ 10,00,000",7.2 / 10
"Sri Venkateswara College of Engineering - [SVCE], Tirupati","₹ 38,500","₹ 4,20,000",8.3 / 10
"Thadomal Shahani Engineering College - [TSEC], Mumbai","₹ 1,89,205","₹ 1,18,00,000",7.5 / 10
"Velammal Engineering College - [VEC], Chennai","₹ 65,000","₹ 14,00,000",7.8 / 10
"Aryabhatta Knowledge University - [AKU], Patna",--,"₹ 27,43,000",7.6 / 10
"Oriental University - [OU], Indore","₹ 35,000","₹ 2,40,000",7.3 / 10
"Noida International University - [NIU], Greater Noida","₹ 1,48,000","₹ 10,00,000",7.5 / 10
"National Institute of Technology - [NIT], Dimapur","₹ 1,38,150","₹ 2,40,000",7.3 / 10
"Central Institute of Technology - [CIT], Kokrajhar","₹ 52,000","₹ 10,00,000",7.2 / 10
"Vidyalankar Institute of Technology - [VIT], Mumbai","₹ 1,50,790","₹ 9,00,000",8.6 / 10
"Madhav University - [MU], Sirohi","₹ 35,000","₹ 3,60,000",7.8 / 10
"APJ Abdul Kalam Technological University - [KTU], Thiruvananthapuram",--,"₹ 5,20,000",7.5 / 10
"Indian Institute of Information Technology Vadodara - [IIIT-V], Gandhinagar","₹ 2,35,720","₹ 5,12,000",7.8 / 10
"Graphic Era Hill University - [GEHU], Dehradun","₹ 2,75,600","₹ 40,00,000",7.4 / 10
"University of Engineering and Management - [UEM], Kolkata","₹ 1,71,200","₹ 8,00,000",7.9 / 10
"Indian Institute of Information Technology - [IIIT], Nagpur","₹ 2,47,000","₹ 18,00,000",7.6 / 10
"Bundelkhand University, Institute of Engineering and Technology, Jhansi","₹ 67,200","₹ 5,43,000",7.9 / 10
"Amity University, Gwalior","₹ 2,08,000","₹ 24,00,000",8.2 / 10
"Federal Institute of Science and Technology - [FISAT], Ernakulam","₹ 75,100","₹ 8,51,000",8.2 / 10
"Galgotias College of Engineering and Technology - [GCET], Greater Noida","₹ 1,15,603","₹ 33,60,000",7.9 / 10
"Global Academy of Technology - [GAT], Bangalore","₹ 3,00,000","₹ 7,00,000",7.8 / 10
"HKBK Group of Institutions, Bangalore","₹ 3,70,000","₹ 26,00,000",7 / 10
"Sri Vasavi Engineering College - [SVEC], Tadepalligudem","₹ 63,000","₹ 13,00,000",8 / 10
"SRM Valliammai Engineering college -[VEC], Kanchipuram","₹ 1,77,000","₹ 39,00,000",7.9 / 10
"National Institute of Technology - [NIT], Papum Pare","₹ 1,53,600","₹ 5,35,000",7.4 / 10
"Uka Tarsadia University, Bardoli","₹ 94,000","₹ 25,33,000",8.5 / 10
"AKS University - [AKSU], Satna","₹ 60,000","₹ 5,08,000",7.3 / 10
"ITM University, Gwalior","₹ 2,07,000","₹ 55,00,000",8 / 10
"Jagannath University, Jaipur","₹ 1,00,000","₹ 45,50,000",8.1 / 10
"Babu Banarasi Das University - [BBDU], Lucknow","₹ 1,25,000","₹ 25,86,000",7.8 / 10
"University Institute of Engineering and Technology -[UIET], Chandigarh","₹ 1,47,670","₹ 1,20,00,000",7.5 / 10
"National Institute of Technology - [NIT], Aizawl","₹ 1,50,200","₹ 3,50,000",7 / 10
"JIS College of Engineering - [JISCE], Kolkata","₹ 4,08,000","₹ 36,00,000",8.5 / 10
"Rayat Bahra University, Mohali","₹ 1,00,000","₹ 16,83,000",6.9 / 10
"Indian Institute of Information Technology - [IIITD], Dharwad","₹ 3,55,000","₹ 53,00,000",7.8 / 10
"Indian Institute of Information Technology - [IIIT-K], Kota","₹ 2,30,925","₹ 12,00,000",7.8 / 10
"Indian Institute of Information Technology Sri City - [IIIT], Sri City","₹ 3,21,000","₹ 3,00,000",7.6 / 10
"Indian Institute of Information Technology - [IIIT], Una","₹ 2,45,000","₹ 12,00,000",7.7 / 10
"National Institute of Technology - [NITAP], Tadepalligudem","₹ 1,52,500","₹ 4,50,000",7.4 / 10
"Amity University, Raipur","₹ 86,000","₹ 13,58,000",7.7 / 10
"Indian Institute of Information Technology - [IIIT], Ranchi","₹ 2,14,000","₹ 6,93,000",8.1 / 10
"IILM University, Gurgaon","₹ 3,40,000","₹ 36,50,000",7.4 / 10
"RC Patel Institute of Technology - [RCPIT], Shirpur","₹ 1,15,000","₹ 12,00,000",7.8 / 10
"St. Francis Institute of Technology - [SFIT], Mumbai","₹ 1,32,500","₹ 4,80,000",7.4 / 10
"Presidency University, Kolkata",--,"₹ 6,80,000",8.1 / 10
"North-Eastern Hill University - [NEHU], Shillong","₹ 49,600","₹ 8,42,000",7.5 / 10
"Assam Don Bosco University - [ADBU], Guwahati","₹ 1,31,000","₹ 42,00,000",7.7 / 10
"DAV University, Jalandhar","₹ 1,36,000","₹ 57,00,000",8 / 10
"ICFAI University, West Tripura","₹ 1,30,000","₹ 6,00,000",8 / 10
"The Neotia University - [TNU], Kolkata","₹ 1,46,000","₹ 34,50,000",8.1 / 10
"Starex University, Gurgaon","₹ 80,000","₹ 8,00,000",8.8 / 10
"Assam Engineering College - [AEC], Guwahati","₹ 11,000","₹ 4,05,000",7.8 / 10
"Atharva College of Engineering, Mumbai","₹ 1,34,126","₹ 6,00,000",8.1 / 10
"Bhagalpur College of Engineering - [BCE], Bhagalpur","₹ 1,12,500","₹ 6,50,000",7.6 / 10
"Don Bosco Institute of Technology - [DBIT], Mumbai","₹ 1,35,853","₹ 10,00,000",8.1 / 10
"Government College of Engineering - [GECA], Aurangabad","₹ 65,839","₹ 5,40,000",7.7 / 10
"GNIOT Group of Institutions - [GNIOT], Greater Noida","₹ 1,49,400","₹ 44,00,000",7.7 / 10
"Jeppiaar Engineering College, Chennai","₹ 60,000","₹ 57,60,000",7.3 / 10
"Kalyani Government Engineering College - [KGEC], Nadia","₹ 16,155","₹ 80,00,000",7.9 / 10
"Karpagam College of Engineering - [KCE], Coimbatore","₹ 75,500","₹ 3,50,000",8 / 10
"KIET Group of Institutions - [KIET], Ghaziabad","₹ 1,38,499","₹ 24,00,000",7.9 / 10
"L.D. College of Engineering - [LDCE], Ahmedabad",₹ 800,"₹ 6,50,000",8.3 / 10
"PES College of Engineering - [PESCOE], Aurangabad","₹ 87,054","₹ 4,50,000",7.2 / 10
"Raghu Engineering College - [REC], Visakhapatnam","₹ 69,700","₹ 24,00,000",8.1 / 10
"Silicon Institute of Technology - [SIT], Bhubaneswar","₹ 1,72,500","₹ 11,59,000",7.8 / 10
"Symbiosis Institute of Technology - [SIT], Pune","₹ 2,80,000","₹ 32,00,000",8.3 / 10
"Terna Engineering College Navi Mumbai, Mumbai","₹ 1,30,000","₹ 3,80,000",7.5 / 10
"Vivekanand Education Society Institute of Technology - [VESIT], Mumbai","₹ 1,25,306","₹ 8,00,000",8.1 / 10
"Sreenidhi Institute of Science and Technology - [SNIST], Hyderabad","₹ 1,30,000","₹ 21,94,000",7.7 / 10
"Paavai Engineering College (Autonomous), Namakkal","₹ 50,000","₹ 85,00,000",7.8 / 10
"RK University - [RKU], Rajkot","₹ 76,500","₹ 18,00,000",8.3 / 10
"Baddi University of Emerging Sciences and Technologies - [BUEST], Baddi","₹ 93,900","₹ 10,00,000",7.2 / 10
"Sai Nath University, Ranchi","₹ 88,000","₹ 4,00,000",7.9 / 10
"GITAM, Bangalore","₹ 2,05,000","₹ 13,34,000",7.9 / 10
"Pacific University, Udaipur","₹ 80,000","₹ 5,30,000",7.7 / 10
"ICFAI University, Dehradun","₹ 4,80,000","₹ 32,00,000",8.3 / 10
"KCG College Of technology, Chennai","₹ 50,000","₹ 14,00,000",7.9 / 10
"Silicon Institute of Technology - [SIT], Sambalpur","₹ 4,60,000","₹ 4,80,000",7.8 / 10
"Birla Institute of Technology - [BIT], Patna","₹ 2,95,000","₹ 9,00,000",7.3 / 10
"Indian Institute of Information Technology - [IIITK], Kalyani","₹ 2,04,620","₹ 4,50,000",7.2 / 10
"Indian Institute of Information Technology Design and Manufacturing - [IIITDM], Kurnool","₹ 1,53,380","₹ 5,76,000",7.6 / 10
"GITAM, Hyderabad","₹ 3,29,500","₹ 58,00,000",8.3 / 10
"Medi-Caps University, Indore","₹ 1,10,000","₹ 3,40,000",7.5 / 10
"Institute of Infrastructure Technology Research and Management - [IITRAM], Ahmedabad","₹ 89,500","₹ 8,50,000",7.3 / 10
"GNA University, Phagwara","₹ 1,53,000","₹ 41,00,000",7.6 / 10
"Mahindra University, Hyderabad","₹ 4,70,000","₹ 27,00,000",8.5 / 10
"Indian Institute of Information Technology [IIIT], Kottayam","₹ 2,30,450","₹ 7,00,000",8.3 / 10
"International Institute of Information Technology - [IIIT] Naya Raipur, Raipur","₹ 1,80,150","₹ 10,00,000",8.4 / 10
"Indian Institute of Information Technology - [IIIT], Surat","₹ 1,66,000","₹ 1,12,00,000",8.3 / 10
"XIM University, Bhubaneswar","₹ 2,23,000","₹ 3,00,000",8.2 / 10
"Dr. C.V. Raman University - [CVRU], Bilaspur","₹ 50,700","₹ 11,50,000",6.9 / 10
"Nitte University - [NITTE], Mangalore","₹ 1,20,000","₹ 5,00,000",8.1 / 10
"Jagran Lakecity University - [JLU], Bhopal","₹ 1,05,000","₹ 27,00,000",8 / 10
"Amity University, Ranchi","₹ 1,35,000","₹ 4,80,000",7.8 / 10
"Anant National University - [AnantU], Ahmedabad","₹ 2,90,000","₹ 8,09,000",8.4 / 10
"ACS College of Engineering - [ACSCE], Bangalore","₹ 58,806","₹ 45,00,000",7.5 / 10
"Adhiyamaan College of Engineering, Hosur","₹ 2,00,000","₹ 4,16,000",7.8 / 10
"Ajay Kumar Garg Engineering College - [AKGEC], Ghaziabad","₹ 1,41,856","₹ 7,00,000",7.7 / 10
"Atria Institute of Technology, Bangalore","₹ 95,340","₹ 16,25,000",7 / 10
"Bhubaneswar Engineering College - [BEC], Bhubaneswar","₹ 2,52,000","₹ 44,00,000",7.6 / 10
"College of Engineering Bhubaneswar - [COEB], Bhubaneswar","₹ 81,000","₹ 5,08,000",6.7 / 10
"Gaya College of Engineering, Gaya","₹ 1,00,000","₹ 40,60,000",7.2 / 10
"Government College of Engineering - [GCOEA], Amravati","₹ 85,160","₹ 4,50,000",7.2 / 10
"Government Engineering College - [GECT], Thrissur","₹ 22,150","₹ 72,00,000",8.5 / 10
"Guru Tegh Bahadur Institute of Technology - [GTBIT], New Delhi","₹ 1,42,800","₹ 13,56,000",7.5 / 10
"Krishna Engineering College - [KEC], Ghaziabad","₹ 99,677","₹ 8,60,00,000",7.8 / 10
"Meerut Institute of Engineering and Technology - [MIET], Meerut","₹ 4,08,000","₹ 4,58,000",7.9 / 10
"National Institute of Foundry & Forge Technology - [NIFFT], Ranchi","₹ 47,450","₹ 14,95,000",8.3 / 10
"Raj Kumar Goel Institute of Technology - [RKGIT], Ghaziabad","₹ 1,35,000","₹ 4,52,500",7 / 10
"Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET], Kurnool","₹ 69,100","₹ 6,45,000",7.6 / 10
"Rizvi College of Engineering - [RCOE], Mumbai","₹ 1,02,444","₹ 6,30,000",7.9 / 10
"S.A. Engineering College, Chennai","₹ 60,000","₹ 29,10,000",7.9 / 10
"Shri Guru Gobind Singhji Institute of Engineering and Technology - [SGGSIE&T], Nanded","₹ 66,793","₹ 2,08,000",7.9 / 10
"Sir M Visvesvaraya Institute of Technology - [Sir MVIT], Bangalore","₹ 80,526","₹ 3,25,000",7.5 / 10
"St Martin's Engineering College - [SMEC], Hyderabad","₹ 1,00,000","₹ 6,20,000",7.8 / 10
"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT], Jaipur","₹ 1,08,300","₹ 12,00,000",7.8 / 10
"TKM College of Engineering - [TKMCE], Kollam","₹ 8,410","₹ 5,50,000",8.3 / 10
"Arka Jain University, Jamshedpur","₹ 1,00,000","₹ 45,00,000",8.1 / 10
"Jabalpur Engineering College - [JEC], Jabalpur","₹ 22,300","₹ 12,00,000",7.2 / 10
"Maharishi Markandeshwar - [MMU], Solan","₹ 1,48,500","₹ 44,15,000",8.5 / 10
"Maharana Pratap University of Agriculture and Technology - [MPUAT], Udaipur","₹ 86,000","₹ 45,00,000",7.8 / 10
"Himgiri Zee University - [HZU], Dehradun","₹ 95,000","₹ 45,00,000",7.9 / 10
"MIT Academy of Engineering - [MITAOE], Pune","₹ 1,75,737","₹ 11,52,000",7.5 / 10
"Vivekananda Global University - [VGU], Jaipur","₹ 1,25,000","₹ 35,00,000",8.6 / 10
"Shri Ramswaroop Memorial University - [SRMU], Lucknow","₹ 1,37,000","₹ 9,00,000",8.2 / 10
"Chandigarh Group of Colleges - [CGC] Jhanjeri, Mohali","₹ 96,500","₹ 43,00,000",8.3 / 10
"PSG Institute of Technology and Applied Research - [PSG iTech], Coimbatore","₹ 89,800","₹ 21,00,000",8.7 / 10
"MLR Institute of Technology - [MLRIT], Hyderabad","₹ 1,10,000","₹ 15,00,000",8.2 / 10
"Swami Vivekanand University, Sagar","₹ 44,000","₹ 60,00,000",6.4 / 10
"Mahaveer Institute of Engineering & Technology - [MIET], Meerut",--,"₹ 8,13,000",7.5 / 10
"Indian Institute of Information Technology - [IIIT], Tiruchirappalli","₹ 1,94,750","₹ 44,00,000",8.4 / 10
"Indian Institute of Information Technology - [IIIT], Sonepat","₹ 2,12,534","₹ 12,00,000",8.7 / 10
"Atmiya University, Rajkot","₹ 81,000","₹ 46,00,000",8.4 / 10
"Acropolis Group of Institutions, Indore","₹ 73,600","₹ 8,60,000",8.4 / 10
"SRM University Delhi NCR, Sonepat","₹ 2,16,000","₹ 20,00,000",7.9 / 10
"SRM University Sikkim, Gangtok","₹ 2,25,000","₹ 3,60,000",8.1 / 10
"Avantika University, Ujjain","₹ 2,28,000","₹ 19,14,000",9.1 / 10
"C. U. Shah University, Wadhwan","₹ 77,800","₹ 5,00,000",6.8 / 10
"AISSMS College of Engineering - [AISSMSCOE], Pune","₹ 1,36,000","₹ 13,00,000",8.2 / 10
"Amal Jyothi College of Engineering - [AJCE], Kanjirappally","₹ 1,00,000","₹ 5,00,000",7.6 / 10
"Bengal Institute of Technology - [BIT], Kolkata","₹ 3,47,000","₹ 13,00,000",7.6 / 10
"Bhagwan Parshuram Institute of Technology - [BPIT], New Delhi","₹ 97,800","₹ 3,50,000",7.5 / 10
"Bhilai Institute of Technology - [BIT], Durg","₹ 81,400","₹ 10,00,000",7.3 / 10
"Canara Engineering College - [CEC], Mangalore","₹ 1,00,000","₹ 2,48,000",7.5 / 10
"Central Institute of Petrochemicals Engineering & Technology - [CIPET], Chennai","₹ 31,950","₹ 10,00,000",8.2 / 10
"DKTE Society's Textile and Engineering Institute - [DKTE], Kolhapur","₹ 1,06,000","₹ 5,75,000",8.2 / 10
"East West Institute of Technology - [EWIT], Bangalore",--,"₹ 70,00,000",6.7 / 10
"GS Mandal's Marathwada Institute of Technology - [MIT], Aurangabad","₹ 1,01,000","₹ 7,00,000",7.2 / 10
"Hindustan College of Engineering - [HCE], Kollam","₹ 50,000","₹ 14,00,000",8 / 10
"IMS Engineering College - [IMSEC], Ghaziabad","₹ 1,35,169","₹ 6,03,000",7.6 / 10
"Jayawantrao Sawant College of Engineering- [JSCOE], Pune","₹ 1,12,500","₹ 48,40,000",6.5 / 10
"Jerusalem College of Engineering - [JCE], Chennai","₹ 50,000","₹ 4,50,000",7.7 / 10
"Jorhat Engineering College - [JEC], Jorhat","₹ 11,000","₹ 10,00,000",7.8 / 10
"Keshav Memorial Institute of Technology - [KMIT], Hyderabad","₹ 1,11,500","₹ 5,60,000",8.1 / 10
"MIT-WPU Faculty of Engineering, Pune","₹ 3,10,000","₹ 20,00,000",7.9 / 10
"Maharashtra Institute of Technology - [MIT], Aurangabad","₹ 1,01,200","₹ 31,00,000",7.5 / 10
"Mahendra Engineering College, Namakkal","₹ 70,000","₹ 4,80,000",7.3 / 10
"Malnad College of Engineering - [MCE], Hassan","₹ 2,38,000","₹ 20,00,000",8 / 10
"Marian Engineering College - [MEC], Thiruvananthapuram","₹ 97,750","₹ 22,00,000",7.8 / 10
"National Institute of Science and Technology - [NIST], Berhampur","₹ 1,23,500","₹ 5,50,000",7.9 / 10
"Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM], New Delhi","₹ 1,18,800","₹ 38,00,000",7.1 / 10
"Pillai College of Engineering - [PCE] Navi Mumbai, Mumbai","₹ 1,30,000","₹ 4,25,000",8.2 / 10
"Poornima College of Engineering, Jaipur","₹ 1,70,000","₹ 15,00,000",7.7 / 10
"Pune Institute of Computer Technology- [PICT], Pune","₹ 92,000","₹ 4,20,000",7.9 / 10
"SNS College of Engineering - [SNSCE], Coimbatore","₹ 3,00,000","₹ 21,00,000",7.9 / 10
"Saintgits College of Engineering, Kottayam","₹ 75,000","₹ 3,50,000",8.3 / 10
"Saranathan College of Engineering - [SCE], Tiruchirappalli","₹ 65,000","₹ 7,00,000",8 / 10
"Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad, Anand","₹ 74,000","₹ 90,00,000",8 / 10
"Sethu Institute of Technology, Kariapatti","₹ 50,000","₹ 5,80,000",8.3 / 10
"Siliguri Institute of Technology - [SIT], Darjeeling","₹ 3,93,000","₹ 10,00,000",7.7 / 10
"Trichy Engineering College - [TEC], Tiruchirappalli","₹ 60,000","₹ 4,00,000",8.1 / 10
"JSS Academy of Technical Education - [JSSATE], Noida","₹ 1,37,850","₹ 28,00,000",7.5 / 10
"Vaagdevi College of Engineering - [VCOE], Warangal","₹ 86,000","₹ 4,36,000",8 / 10
"Ujjain Engineering College - [UEC], Ujjain","₹ 25,151","₹ 26,00,000",6.8 / 10
"University Institute of Technology, University Of Burdwan - [UIT], Bardhaman","₹ 81,200","₹ 5,70,000",6.7 / 10
"Jharkhand Rai University - [JRU], Ranchi","₹ 85,000","₹ 9,00,000",7.7 / 10
"Shridhar University, Pilani","₹ 99,300","₹ 10,73,000",6.8 / 10
"University of Engineering and Management - [UEM], Jaipur","₹ 1,00,000","₹ 15,00,000",8.2 / 10
"Amrita Vishwa Vidyapeetham, Coimbatore","₹ 3,00,000","₹ 5,72,000",7.7 / 10
"International Institute of Information Technology - [I²IT], Pune","₹ 1,20,079","₹ 15,00,000",7.6 / 10
"CMR Engineering College - [CMREC], Hyderabad","₹ 75,000","₹ 4,90,000",8.7 / 10
"College of Engineering and Technology - [CET], Bhubaneswar","₹ 2,35,000","₹ 32,00,000",7.7 / 10
"Lingaya's Vidyapeeth, Faridabad","₹ 1,67,000","₹ 6,50,000",7.3 / 10
"Matrusri Engineering College, Hyderabad","₹ 1,00,000","₹ 48,00,000",7.4 / 10
"Jalpaiguri Government Engineering College - [JGEC], Jalpaiguri","₹ 24,893","₹ 3,50,000",7.9 / 10
"Vemana Institute of Technology, Bangalore","₹ 1,47,720","₹ 26,00,000",7.4 / 10
